,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,(-0.007387734251249961+0j),(-0.0041842408406488054+0j),(0.017822335778984642+0j),(-0.01750122141901921+0j),(0.02737712376862453+0j),(0.02218059050182431+0j),(-0.4428024225125023+0j),(-0.4407785733250488+0j),(0.4876208049785392+0j),(0.48688429105937303+0j),(-0.20934163530388422+0j),(0.1492685412920023+0j),(-0.21068051797324167+0j),(0.1477379995761593+0j),(-0.017151182865240016+0j),(0.008640958559500202+0j),(0.01474767818849268+0j),(-0.013087363010096534+0j),(0.003048976235919304+0j),(-0.0032157825300898773+0j),(0.0024288339162337057+0j),(-0.001988593744018982+0j),(0.00036751741080908487+0.00012294320040626128j),(0.00036751741080908487-0.00012294320040626128j),(-0.002056405314921347+0j),(0.0006711733013753462+0j),(0.001583590951131737+0j),(0.00028057510746444395+0j),(2.3758394198584614e-05+0j),(0.00045035135689833563+0j),(-2.9834755347239593e-05+0j)
1,(-0.0005664793829503619+0j),(0.0009262554811284131+0j),(0.0005028344616849486+0j),(0.00028765581975099457+0j),(0.0016953894663198897+0j),(-0.0011554355996726338+0j),(-0.001370896925839088+0j),(-0.007577876217581476+0j),(-0.006986838168222663+0j),(-0.010187849810973934+0j),(-0.0011285641696194314+0j),(0.01246592615992707+0j),(0.0055270372327017+0j),(0.012966109685004711+0j),(-0.005985378075519985+0j),(0.27369300083146736+0j),(-0.20779687038141048+0j),(0.08013693740244124+0j),(0.23173187754544763+0j),(0.04659827396723512+0j),(0.008479243484151605+0j),(-0.02227021689285712+0j),(0.02002543200593952+0.012311622116621306j),(0.02002543200593952-0.012311622116621306j),(0.05470826361566258+0j),(-0.017536399739658003+0j),(-0.02649040096314403+0j),(-0.0017109776844178993+0j),(0.0042530238781166825+0j),(-0.005943475026772801+0j),(0.003915553877225823+0j)
2,(0.029751734199839133+0j),(0.03022390733003992+0j),(-0.12245530285436561+0j),(0.1221645521178793+0j),(-0.6862740735852526+0j),(-0.6851401548319787+0j),(-0.10569729218770899+0j),(-0.10511599617043751+0j),(-0.03949122790336855+0j),(-0.03966587221173219+0j),(0.03520550843410641+0j),(-0.0029316586466131985+0j),(0.035133197660708326+0j),(-0.003070460357273137+0j),(0.0024958342879937844+0j),(-0.0017100665252652442+0j),(-0.002872464359612923+0j),(0.000842672376176879+0j),(0.0006712866537457158+0j),(0.0003634002122312707+0j),(-9.093900025541193e-05+0j),(-0.00017443227036616747+0j),(4.4862947061523366e-05+7.883053406224208e-07j),(4.4862947061523366e-05-7.883053406224208e-07j),(0.0002244512334166177+0j),(-0.000211846983155622+0j),(-7.522457987527484e-05+0j),(6.453545871632369e-05+0j),(8.161349207018785e-05+0j),(2.5998511656047e-06+0j),(3.146151085588927e-07+0j)
3,(0.08419537545774529+0j),(0.08422530489300521+0j),(-0.6889412983882782+0j),(0.6889524590836836+0j),(0.13094978143857255+0j),(0.13061942513204733+0j),(-0.02888713822781098+0j),(-0.028912623518083467+0j),(-0.009967617376675071+0j),(-0.009757017644965813+0j),(-0.0078326658299975+0j),(-0.001341076126002702+0j),(-0.007807334447633399+0j),(-0.0014308944043915873+0j),(-0.0005746479073693266+0j),(0.0007094817784143936+0j),(0.0006307134468268106+0j),(0.00031867389248812193+0j),(-0.00034273679192724964+0j),(-0.00011043475367807837+0j),(-3.5079407986001287e-05+0j),(8.7227132372867e-05+0j),(-9.552774021361632e-06+1.4665096974567371e-05j),(-9.552774021361632e-06-1.4665096974567371e-05j),(-6.46683097099212e-06+0j),(5.319375535126074e-05+0j),(-1.004193967087503e-05+0j),(-1.4524970114986702e-05+0j),(-1.086629762306853e-05+0j),(-2.2294176098739784e-06+0j),(-1.2872289349095134e-05+0j)
4,(-0.1971226771140417+0j),(0.19711988224723517+0j),(0.1215818273223877+0j),(0.12152659777984509+0j),(-0.022370529766035704+0j),(0.022454060581889677+0j),(0.11360623747845455+0j),(-0.11342915782329074+0j),(-0.21558550515072805+0j),(0.21412344630666388+0j),(-0.15867033988249685+0j),(0.10678534536844152+0j),(0.159930692228197+0j),(-0.11049539687361788+0j),(-0.4384399864516814+0j),(-0.4656321936613254+0j),(-0.32626851137191243+0j),(-0.07531493584042236+0j),(-0.12005855375080479+0j),(-0.25721782418037253+0j),(0.38489679379527836+0j),(-0.2645043093316326+0j),(0.15283933550184756+0.06732303482589758j),(0.15283933550184756-0.06732303482589758j),(-0.179908330013788+0j),(0.1565948999794484+0j),(0.056485277922135035+0j),(0.01728962719912789+0j),(0.013764686913527514+0j),(0.018917891964551497+0j),(0.0037635282503764886+0j)
5,(-0.0873592848910211+0j),(0.08730762769072156+0j),(-0.1314485776434206+0j),(-0.13150261892880918+0j),(-0.05702153078156979+0j),(0.05731336801531939+0j),(-0.288243035385575+0j),(0.28895792159534267+0j),(0.007787948737262933+0j),(-0.007598792693271986+0j),(0.33244668417641926+0j),(-0.12535720878426787+0j),(-0.32888779565939325+0j),(0.12516572544981283+0j),(0.028124720612050007+0j),(0.013994976802458016+0j),(0.027458522942154437+0j),(0.1863110286796956+0j),(0.1817744608563627+0j),(-0.3724986291218349+0j),(0.3996888023772492+0j),(-0.08571841280872113+0j),(0.16391272989085576-0.03348813399469668j),(0.16391272989085576+0.03348813399469668j),(-0.34832687372214133+0j),(0.2752951345353927+0j),(0.007077105232336986+0j),(-0.07570358004530132+0j),(-0.08374069633698997+0j),(0.019239126970997167+0j),(-0.07014467642241277+0j)
6,(-0.06752006141704973+0j),(0.06755709465966082+0j),(-0.0037480695929687914+0j),(-0.003837509129848232+0j),(-0.09915293415799233+0j),(0.09918875263857249+0j),(0.18202525852871249+0j),(-0.1831748988999113+0j),(-0.16497999354243578+0j),(0.1657948794305665+0j),(0.018638655331370626+0j),(-0.03150952172648034+0j),(-0.02569974066610362+0j),(0.032651663702470184+0j),(0.207095068752436+0j),(0.12256152941962933+0j),(0.15472442442075346+0j),(0.05904205550207092+0j),(-0.09919222211301805+0j),(0.28062116221744426+0j),(-0.19867437376841912+0j),(0.017610630169440394+0j),(0.2648148298858849+0.1127500902670249j),(0.2648148298858849-0.1127500902670249j),(-0.42331630817081345+0j),(0.3698716182399694+0j),(-0.11315922605109213+0j),(-0.11681705210245504+0j),(-0.11124668066732976+0j),(-0.04262173146189057+0j),(-0.048849029378473706+0j)
7,(-0.1547425968541225+0j),(0.15475414504687626+0j),(-0.1344149852727989+0j),(-0.1344228475418142+0j),(-0.44958391442465967+0j),(0.4507937676971775+0j),(-0.0495048568378986+0j),(0.04865820391465536+0j),(0.15066447304863764+0j),(-0.14724887302035689+0j),(0.06579883087159094+0j),(0.37977420352811536+0j),(-0.06517135265194025+0j),(-0.3796240682970362+0j),(-0.07779492639177985+0j),(-0.09463930237997471+0j),(-0.12114841732210521+0j),(0.12513771254782768+0j),(0.14086025277397704+0j),(0.12726433142017393+0j),(-0.13229381961036263+0j),(0.03818034276763911+0j),(-0.1516317364609637+0.02591188948726613j),(-0.1516317364609637-0.02591188948726613j),(0.16318969984692594+0j),(-0.09359310250929237+0j),(-0.08450608649682922+0j),(-0.045112735045881015+0j),(-0.04795676017747369+0j),(0.0002184332800751316+0j),(-0.02399354015157872+0j)
8,(-0.09321367155621914+0j),(0.09321264632909698+0j),(-0.14030948185560782+0j),(-0.1402973364706055+0j),(-0.19687340138829898+0j),(0.19739320011653677+0j),(-0.23093111805524938+0j),(0.23053767032666833+0j),(-0.1487487259689869+0j),(0.14993784220085513+0j),(0.07193574234657187+0j),(-0.08916057792936086+0j),(-0.07427068173354691+0j),(0.08880902938514754+0j),(0.1260918882633925+0j),(0.12381640121159189+0j),(0.19103510284438494+0j),(-0.28226281506794343+0j),(-0.3321325450645339+0j),(-0.014201493334850452+0j),(-0.07623146391110408+0j),(-0.2165757374471566+0j),(0.12720610262392382+0.09659457149702044j),(0.12720610262392382-0.09659457149702044j),(0.1925447367446609+0j),(-0.2395938252008761+0j),(0.34904627807445104+0j),(0.33322657901761354+0j),(0.3292634601999637+0j),(0.0023511304338097606+0j),(0.15761454831846963+0j)
9,(0.014058685253299804+0j),(-0.014058473718629795+0j),(0.02873624306991212+0j),(0.028727620036133692+0j),(-0.015528942470798574+0j),(0.015571849413893174+0j),(0.03169413751481893+0j),(-0.03185856717875437+0j),(0.06654462039474095+0j),(-0.06622627026462088+0j),(0.035410004593343286+0j),(0.017353026946002877+0j),(-0.03507035462161457+0j),(-0.017288553798892797+0j),(0.07905186482191287+0j),(0.05214552298293698+0j),(0.1003757528712362+0j),(0.039762970748060435+0j),(-0.02969978506791306+0j),(-0.07028410861174952+0j),(-0.020908083000255356+0j),(-0.16126367285272883+0j),(-0.14377735158209148+0.011489669193384261j),(-0.14377735158209148-0.011489669193384261j),(-0.1727564646768625+0j),(0.44465244880881755+0j),(0.08616636722370201+0j),(0.36650878307695234+0j),(0.4252763048008769+0j),(-0.13661050557596172+0j),(-0.054107492229251736+0j)
